Date,Transaction,Description,Category
05/31/2021,-176.58,CACTUS CANTINA WASHINGTON DC,restaurant
05/31/2021,-35.47,TST* CAFE PIZZAIOLO - FERALEXANDRIA VA,restaurant
05/31/2021,-6.17,CAPITOL GROUNDS COFFE  VA,coffee
05/30/2021,-8.23,DUNKIN  FAIRFAX VA,coffee
05/30/2021,-3.18,DUNKIN  ALEXANDRIA VA,coffee
05/30/2021,-40.0,SUNOCO  ALEXANDRIA VA,auto
05/30/2021,-3.99,SUNOCO  ALEXANDRIA VA,auto
05/29/2021,-8.23,DUNKIN  FAIRFAX VA,coffee
05/29/2021,-5.29,SUNOCO  FAIRFAX VA,auto
05/28/2021,-5.8,DUNKIN  FAIRFAX VA,coffee
05/27/2021,-5.8,DUNKIN  FAIRFAX VA,coffee
05/27/2021,-31.34,POKEWORKS - ANNANDALE ANNANDALE VA,fastfood
05/27/2021,-36.0,SUNOCO  FAIRFAX VA,auto
05/25/2021,-34.92,DOORDASH*CHIPOTLE WWW.DOORDASH.CA,fastfood
05/24/2021,-8.23,DUNKIN  FAIRFAX VA,coffee
05/24/2021,-9.32,DOMINO'S  FAIRFAX VA,fastfood
05/24/2021,-32.06,SHELL OIL  MANASSAS VA,auto
05/23/2021,-8.23,DUNKIN  FAIRFAX VA,coffee
05/23/2021,-12.06,TS CAFE VENTURES INC VA 1FAIRFAX VA,fastfood
05/23/2021,-4.19,SQ *GATHERING GROUNDS CAFFairfax VA,coffee
05/22/2021,-10.87,DUNKIN  FAIRFAX VA,coffee
05/22/2021,-40.78,CHICK-FIL-A  CHANTILLY VA,fastfood
05/22/2021,-57.1,EXXONMOBIL  CHANTILLY VA,auto
05/21/2021,-5.8,DUNKIN  FAIRFAX VA,coffee
05/21/2021,-12.7,Subway  Fairfax VA,fastfood
05/20/2021,-5.8,DUNKIN  FAIRFAX VA,coffee
05/20/2021,-26.0,CHIPOTLE ONLINE CHIPOTLE.COM CA,fastfood
05/20/2021,-27.32,CHICK-FIL-A   VA,fastfood
05/19/2021,-5.8,DUNKIN  FAIRFAX VA,coffee
05/19/2021,-35.19,SHELL OIL  CHANTILLY VA,auto
05/19/2021,-12.32,THE SWISS BAKERY - RAV SPRINGFIELD VA,fastfood
05/19/2021,-62.87,GUAPOS FAIRFAX  VA,restaurant
05/18/2021,-4.11,DUNKIN  FAIRFAX VA,coffee
05/18/2021,-17.77,POPEYES  FAIRFAX VA,fastfood
05/18/2021,-14.08,SUNOCO  FAIRFAX VA,auto
05/17/2021,-5.8,DUNKIN  FAIRFAX VA,coffee
05/17/2021,-30.38,JERSEY MIKES  SPRINGFIELD VA,fastfood
05/17/2021,-39.92,OH GEORGE TABLES AND TAPHFAIRFAX VA,restaurant
05/16/2021,-5.8,DUNKIN  FAIRFAX VA,coffee
05/16/2021,-8.23,DUNKIN  FAIRFAX VA,coffee
05/16/2021,-12.04,CHIPOTLE  ALEXANDRIA VA,fastfood
05/15/2021,-5.8,DUNKIN  FAIRFAX VA,coffee
05/15/2021,-25.8,SHELL OIL  ALEXANDRIA VA,auto
05/14/2021,-5.8,DUNKIN  FAIRFAX VA,coffee
05/14/2021,-4.19,SQ *GATHERING GROUNDS CAFFairfax VA,coffee
05/14/2021,-16.29,Subway  Fairfax VA,fastfood
