Device IP,Hostname,ARP IP,MAC,Interface,VRF Name,Registration,MAC48 Type,Is ProxyARP,Seen From,Seen To
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.19,84:7b:eb:10:13:d5,Te0/0/2/1.120,vae-tr,Dell Inc.,GlobalUnicast,false,2021-02-04T22:27:03.759+00:00,2021-02-04T23:47:52.759+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.49,10:65:30:0d:09:f0,Te0/0/2/1.120,vae-tr,Dell Inc.,GlobalUnicast,false,2021-02-04T22:00:27.759+00:00,2021-02-04T23:47:52.759+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.13,9c:b6:d0:bc:c7:53,Te0/0/2/1.120,vae-tr,Rivet Networks,GlobalUnicast,false,2021-02-04T21:30:12.759+00:00,2021-02-04T23:47:52.759+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.142,10:65:30:b8:6d:a7,Te0/0/2/1.120,vae-tr,Dell Inc.,GlobalUnicast,false,2021-02-04T20:33:09.759+00:00,2021-02-04T23:47:52.759+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.29,54:bf:64:30:ac:66,Te0/0/2/1.120,vae-tr,Dell Inc.,GlobalUnicast,false,2021-02-04T21:04:47.759+00:00,2021-02-04T23:47:52.759+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.41,e4:70:b8:82:e4:fc,Te0/0/2/1.120,vae-tr,Intel Corporate,GlobalUnicast,false,2021-02-04T20:56:18.759+00:00,2021-02-04T23:47:52.759+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.37,d8:d0:90:38:30:15,Te0/0/2/1.120,vae-tr,Dell Inc.,GlobalUnicast,false,2021-02-04T20:49:57.759+00:00,2021-02-04T23:47:52.759+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.10,34:02:86:dd:03:83,Te0/0/2/1.120,vae-tr,Intel Corporate,GlobalUnicast,false,2021-02-04T21:24:22.759+00:00,2021-02-04T23:47:52.759+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.25,00:24:d6:d0:26:13,Te0/0/2/1.120,vae-tr,Intel Corporate,GlobalUnicast,false,2021-02-04T22:00:03.759+00:00,2021-02-04T23:47:52.759+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.11,18:56:80:98:46:9e,Te0/0/2/1.120,vae-tr,Intel Corporate,GlobalUnicast,false,2021-02-04T23:47:52.759+00:00,2021-02-05T02:43:27.332+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.195,f2:22:ba:6f:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T20:11:49.759+00:00,2021-02-05T02:43:27.332+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.94,a4:4c:c8:94:dc:96,Te0/0/2/1.120,vae-tr,Dell Inc.,GlobalUnicast,false,2021-02-04T23:32:02.759+00:00,2021-02-05T02:43:27.332+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.53,a4:4c:c8:94:dc:85,Te0/0/2/1.120,vae-tr,Dell Inc.,GlobalUnicast,false,2021-02-04T23:46:08.759+00:00,2021-02-05T02:43:27.332+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.198,f2:22:e4:cf:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T23:17:12.759+00:00,2021-02-05T02:43:27.332+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.35,f2:22:e2:2f:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T23:21:23.759+00:00,2021-02-05T02:43:27.332+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.73,f2:23:04:af:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T23:45:48.759+00:00,2021-02-05T02:43:27.332+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.36,98:e7:43:ed:01:07,Te0/0/2/1.120,vae-tr,Dell Inc.,GlobalUnicast,false,2021-02-04T23:47:15.759+00:00,2021-02-05T02:43:27.332+00:00
