Device IP,Hostname,Interface,Vlan,MAC,MAC Type,Registration,Is Unique,Last Seen
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/3,1,d4:6d:50:06:b3:b1,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/6,1,24:e9:b3:a5:bd:c1,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/14,2,44:03:a7:11:99:00,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/2,2,00:0b:de:ad:01:60,GlobalUnicast,TELDIX GmbH,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/6,2,24:e9:b3:a5:bd:c1,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/7,2,b4:0c:25:e0:40:50,GlobalUnicast,Palo Alto Networks,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/8,3,b4:0c:25:e0:40:51,GlobalUnicast,Palo Alto Networks,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/9,3,b4:0c:25:e0:40:52,GlobalUnicast,Palo Alto Networks,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/16,24,ac:f2:c5:ee:4d:56,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/3,24,00:00:0c:07:ac:18,GlobalUnicast,"Cisco Systems, Inc / HSRP v1",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/3,24,d4:6d:50:06:b3:b1,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,24,e0:ac:f1:7d:a2:65,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/16,25,ac:f2:c5:ee:4d:56,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
