Device IP,Hostname,Interface,Vlan,MAC,MAC Type,Registration,Is Unique,Last Seen
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,24,e0:ac:f1:7d:a2:65,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,25,e0:ac:f1:7d:a2:65,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,29,e0:ac:f1:7d:a2:65,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:16:90,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:26:a0,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:28:43,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:28:63,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:2b:a4,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:45:c8,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:47:c1,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:5b:f0,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:7b:df,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:84:84,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:85:41,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:85:b2,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:96:24,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:a6:fe,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:ab:0c,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:c9:99,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
