rank,date,company,sector,symbol,market-cap,ipo-date,data-source
1,10/6/2020,Apple (G-MAFIA),tech,aapl,1961,1980,
2,10/6/2020,Microsoft (G-MAFIA),tech,msft,1558,1986,
3,10/6/2020,Amazon (G-MAFIA),tech/retail,amzn,1552,1997,
4,10/6/2020,Alphabet  (G-MAFIA),tech,goog,987,2004,
5,10/6/2020,Facebook (G-MAFIA),tech,fb,736,2012,
6,10/6/2020,Berkshire Hathaway,conglomorate,brk.a,501,,
7,10/6/2020,VISA,finance,v,426,2008,fool.com
8,10/6/2020,Walmart,retail,wmt,398,1972,
9,10/6/2020,Tesla,tech/auto,tsla,385,2010,bloomberg.com
10,10/6/2020,Johnson & Johnson,consumer,jnj,385,1944,
11,10/6/2020,Proctor & Gamble,consumer,pg,347,,
12,10/6/2020,NVIDA,tech,nvda,339,1999,
13,10/6/2020,Mastercard,finance,ma,337,2006,
14,10/6/2020,United Health,health,unh,298,,
15,10/6/2020,JP Morgan,finance,jpm,298,,
16,10/6/2020,Home Depot,retail,hd,297,1981,
17,10/6/2020,Verizon,telco,vz,246,,
18,10/6/2020,Adobe,tech,adbe,229,1986,
19,10/6/2020,Salesforce,tech,crm,227,2004,
20,10/6/2020,Paypal,fintech,pypl,224,2002,
21,10/6/2020,Netflix,enter-tech,nflx,223,2002,
22,10/6/2020,Disney,entertain,dis,218,1957,
23,10/6/2020,Intel,tech,intc,218,1971,
24,10/6/2020,Novartis,pharma,nvs,213,,
25,10/6/2020,Coca Cola,consumer,ko,210,1919,
26,10/6/2020,ATT,telco,t ,204,,
27,10/6/2020,Comcast,telco,cmcsa,203,1972,
28,10/6/2020,Merck,pharma,mrk,201,,
29,10/6/2020,Pfizer,pharma,pfe,200,,
30,10/6/2020,Abbott Labs,pharma,abt,188,,
31,10/6/2020,Pepsi,consumer,pep,187,1999,money.cnn.com
32,10/6/2020,SAP,tech,sap,187,1988,
33,10/6/2020,Oracle,tech,orcl,179,1986,
34,10/6/2020,Mc Donalds,mfg,mcd,166,1965,
35,10/6/2020,Cisco,tech,csco,163,1990,
36,10/6/2020,Nike,retail,nke,158,1980,
37,10/6/2020,Costco,retail,cost,158,1985,
38,10/6/2020,Amgen,pharma,amgn,147,,
39,10/6/2020,Broadcom,tech,avgo,147,1998,
40,10/6/2020,Exxon,energy,xom,141,,
41,10/6/2020,Astra Zeneca,pharma,azn,140,,
42,10/6/2020,Accenture,consulting,acn,140,,
43,10/6/2020,Zoom,tech,zoom,136,2019,b. withers/fool.com
44,10/6/2020,United Parcel Service,shipping,ups,119,,
45,10/6/2020,IBM (G-MAFIA),tech,ibm,108,1911(EST),
46,10/6/2020,Wells Fargo,finance,wfc,99,,
47,10/6/2020,Citigroup,finance,c ,92,1998(EST),
48,10/6/2020,Boeing,mfg,ba,90,1962,fool.com
49,10/6/2020,Snowflake,tech,snow,67,2020-Sept,
50,10/6/2020,General Electric,conglomorate,ge,54,1902(EST),fool.com
51,10/6/2020,General Motors,mfg,gm,43,1916(EST),
52,10/6/2020,Ford,mfg,f ,27,1956,
53,10/6/2020,Palo Alto Networks,tech,panw,23,2012,
54,10/6/2020,Palantir,tech,pltr,16,2020-Sept,
